Geneid	Chr	Start	End	Strand	Length	R5_Solid1_counts	T3_CS1_counts	350_Sco1_counts	T1_CS2_counts	T3_PS2_counts	T4_PS1_counts	T4_CS2_counts	T1_PS2_counts	T3_PS1_counts	T1_CS1_counts	T2_PS2_counts	350_Sco2_counts	T4_PS2_counts	T1_PS1_counts	T2_PS1_counts	T2_CS2_counts	CTT_Sco1_counts	T2_CS1_counts	T4_CS1_counts	CTT_Sco2_counts	T3_CS2_counts	R5_Solid2_counts
SCO0001	NC_003888.3	446	1120	+	675	32.5	86.5	6.0	21.5	157.5	62.5	60.5	8.5	146.5	7.5	73.0	8.5	72.0	30.5	62.5	65.5	15.5	44.0	68.0	19.0	87.5	51.5
SCO0002	NC_003888.3	1252	3810	+	2559	67.5	575.75	17.5	117.75	503.25	356.5	420.5	45.75	525.25	82.0	393.0	18.5	326.75	225.25	270.0	255.25	51.75	221.75	737.25	48.25	455.75	78.25
SCO0003	NC_003888.3	3869	6217	+	2349	120.0	168.0	10.0	43.75	152.0	109.5	71.0	18.5	176.5	20.25	141.75	7.5	120.0	103.75	116.0	66.0	34.75	88.75	162.75	28.75	123.5	113.0
SCO0004	NC_003888.3	6226	7170	+	945	251.0	119.0	10.5	481.75	56.75	109.25	112.5	116.0	50.25	160.25	109.0	5.5	85.75	309.0	181.5	107.0	78.75	144.5	149.0	78.25	66.75	243.75
SCO0005	NC_003888.3	7187	9304	+	2118	382.0	166.5	13.0	252.0	81.75	111.0	147.5	91.75	80.75	112.5	140.25	19.5	118.0	433.5	178.5	188.75	248.5	122.0	214.75	214.75	90.25	371.75
SCO0006	NC_003888.3	9304	10407	+	1104	71.0	33.75	2.0	10.75	19.25	10.75	23.0	6.0	21.75	5.0	32.5	3.0	10.5	71.0	29.0	8.5	56.25	5.5	9.75	47.0	35.75	64.75
SCO0007	NC_003888.3	10557	11000	-	444	2.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	10.0	0.0	0.0	43.25	17.5	1.25	1.0	0.0	4.5	0.5	39.0	0.0
SCO0008	NC_003888.3	11013	11360	-	348	2.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.5	0.0	23.75	23.5	1.25	0.5	1.0	3.0	0.0	17.5	1.5
SCO0009	NC_003888.3	11620	11952	-	333	3.0	0.5	0.0	2.0	2.0	0.0	4.0	1.5	0.5	0.0	4.0	0.5	4.5	6.5	4.5	2.5	0.5	2.5	0.0	0.0	5.5	2.0
SCO0010	NC_003888.3	12366	13454	+	1089	498.5	670.5	15.0	480.0	612.0	758.0	412.0	190.5	670.5	295.0	615.5	13.0	725.0	396.0	756.5	601.5	209.5	804.0	660.0	196.5	386.5	474.0
SCO0011	NC_003888.3	13217	14023	-	807	41.75	40.75	7.25	28.25	30.25	49.25	54.75	4.75	35.5	8.25	39.5	2.25	57.0	72.25	44.75	24.75	6.75	23.75	54.25	7.75	47.0	41.5
SCO0012	NC_003888.3	14047	14454	-	408	56.75	55.25	9.25	59.75	56.75	76.75	63.75	11.75	56.0	22.25	79.0	3.75	78.5	75.25	72.25	50.75	18.25	39.25	149.25	15.75	51.0	65.0
SCO0013	NC_003888.3	14742	15029	-	288	0.5	4.5	0.0	0.5	3.5	2.0	2.0	0.0	4.0	0.0	7.0	0.0	4.5	29.5	4.5	0.5	0.0	0.0	0.0	1.0	0.0	3.0
SCO0014	NC_003888.3	15320	15595	-	276	149.0	18.5	1.0	11.5	16.5	17.5	12.5	15.0	17.0	17.0	34.0	4.5	24.5	27.0	46.5	16.5	12.5	17.5	18.0	18.0	13.0	119.5
SCO0015	NC_003888.3	16073	17302	-	1230	2.5	3.5	0.5	1.0	6.5	2.5	2.0	0.0	9.5	0.0	27.5	1.5	6.5	86.0	22.5	0.5	0.5	2.0	10.0	4.0	41.5	4.0
SCO0016	NC_003888.3	17715	17915	+	201	2.5	1.0	0.25	0.0	7.0	3.75	6.5	0.0	8.5	1.0	6.5	0.0	3.25	13.75	6.75	0.75	0.0	0.75	2.75	0.25	9.75	2.25
SCO0017	NC_003888.3	17919	18260	+	342	1.0	7.0	0.25	0.5	5.0	4.75	8.5	0.0	4.5	1.0	5.0	0.0	5.25	22.75	5.75	1.25	0.0	0.25	4.25	0.75	22.75	1.25
SCO0018	NC_003888.3	18488	19351	-	864	198.0	80.0	10.0	75.0	116.5	127.5	95.0	31.5	92.5	42.5	54.0	6.5	125.5	103.5	75.0	47.0	69.5	56.0	149.0	46.0	98.5	222.5
SCO0019	NC_003888.3	19520	19771	-	252	4.5	1.5	0.5	0.0	2.0	0.5	0.0	0.0	1.0	0.0	1.5	0.0	3.0	9.0	2.0	1.0	1.5	1.0	0.0	1.0	2.5	3.5
SCO0020	NC_003888.3	19974	21617	+	1644	126.75	8.25	4.0	5.5	19.5	16.0	9.75	1.5	21.0	9.0	34.75	3.5	26.25	51.5	47.25	11.25	25.75	10.0	35.0	20.25	42.17	133.5
